,school_name,major_name,major_link,salary
54,國立臺灣大學,昆蟲學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=420107,51660
55,國立臺灣大學,生化科技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=420310,51660
56,國立臺灣大學,化學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=440101,51660
57,國立臺灣大學,地質學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=440203,51660
58,國立臺灣大學,物理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=440301,51660
59,國立臺灣大學,大氣科學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=440401,51660
60,國立臺灣大學,數學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=460101,0
61,國立臺灣大學,資訊管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=480109,0
62,國立臺灣大學,電機工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520101,0
63,國立臺灣大學,資訊工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520114,67650
64,國立臺灣大學,機械工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520201,64810
65,國立臺灣大學,生物機電工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520239,64810
66,國立臺灣大學,土木工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520301,56240
67,國立臺灣大學,生物環境工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520315,56240
68,國立臺灣大學,化學工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520401,0
69,國立臺灣大學,材料科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=520502,0
70,國立臺灣大學,工程科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=521302,0
71,國立臺灣大學,農藝學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620102,45800
72,國立臺灣大學,動物科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620203,45800
73,國立臺灣大學,園藝暨景觀學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620303,45800
74,國立臺灣大學,植物病理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620402,45800
75,國立臺灣大學,農業經濟學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620501,45800
76,國立臺灣大學,生物產業傳播暨發展學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620510,45800
77,國立臺灣大學,農業化學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=620801,45800
78,國立臺灣大學,森林環境暨資源學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=621002,45800
79,國立臺灣大學,獸醫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=640101,45800
80,國立臺灣大學,醫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720101,57400
81,國立臺灣大學,公共衛生學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720201,57400
82,國立臺灣大學,藥學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720301,57400
83,國立臺灣大學,物理治療系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720401,57400
84,國立臺灣大學,職能治療學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720402,57400
85,國立臺灣大學,護理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720601,57400
86,國立臺灣大學,醫學檢驗生物技術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720708,57400
87,國立臺灣大學,牙醫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=720801,57400
88,國立臺灣大學,社會工作學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5003000000&mid=760301,0
89,國立臺灣師範大學,教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140101,39820
90,國立臺灣師範大學,輔導學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140107,39820
91,國立臺灣師範大學,公民教育與活動領導學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140201,39820
92,國立臺灣師範大學,華語教學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140203,39820
93,國立臺灣師範大學,人類發展與家庭學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140215,39820
94,國立臺灣師範大學,社會教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140222,39820
95,國立臺灣師範大學,工業教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140301,39820
96,國立臺灣師範大學,體育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140315,39820
97,國立臺灣師範大學,健康促進與衛生教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140325,39820
98,國立臺灣師範大學,特殊教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=140601,39820
99,國立臺灣師範大學,科技應用與人力資源發展學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=149909,39820
100,國立臺灣師範大學,美術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=210101,38010
101,國立臺灣師範大學,音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=210401,38010
102,國立臺灣師範大學,表演藝術系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=210707,38010
103,國立臺灣師範大學,臺灣語文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=220102,36660
104,國立臺灣師範大學,國文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=220201,36660
105,國立臺灣師範大學,華語學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=220204,36660
106,國立臺灣師範大學,英語學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=220308,36660
107,國立臺灣師範大學,史學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=220901,36660
108,國立臺灣師範大學,設計科學創作研究所,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=230106,38010
109,國立臺灣師範大學,地理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=310601,39890
110,國立臺灣師範大學,東亞學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=310702,39890
111,國立臺灣師範大學,學習科學研究所,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=311019,0
